Team1,Team2,Stadium,HostCountry,Team1_Venue,Team2_Venue,Team1_Innings,Team2_Innings,MonthOfMarch,MatchWinner
5,4,37,4,Home,Away,Second,First,December,4
1,14,84,7,Neutral,Neutral,First,Second,September,1
9,15,47,9,Home,Away,First,Second,February,9
7,2,102,6,Home,Away,First,Second,August,2
6,8,46,5,Home,Away,First,Second,August,6
5,13,3,4,Home,Away,Second,First,November,5
9,12,149,9,Home,Away,First,Second,February,9
13,10,38,13,Home,Away,First,Second,May,13
9,13,35,9,Home,Away,Second,First,January,9
4,5,21,3,Home,Away,Second,First,August,5
